tbl_DEXA_Data.Lean,qry_MR_180_Data.Lean,BW
23.8,22.5,30
28.5,26.1,35.8
22.1,20.4,26.9
23.1,21.2,28.7
25.3,24,32.7
26.1,24.9,31.1
27.4,25.6,32.3
27.7,26.2,31.9
25.6,23.5,33.5
26.2,23.8,33.5
23.9,22.4,28.4
26.5,25,33.1
29.4,26.6,37.4
30.4,27.6,41.2
24,22.4,30.2
23.1,21.5,27.9
22.3,21.6,26.4
23.3,22.4,27.8
22.9,21.4,27.6
25.1,23.3,30.3
24.5,23.2,30.1
22.3,20.3,27
22.7,20.9,27.7
23.5,21,31.2
24.3,22.5,34.6
23.5,22.3,30.1
24.2,22.9,30
21.5,21.8,25.8
24.5,24.8,31.9
24.8,24.4,29.4
26.8,26.7,32.2
25,24.2,31.9
23.5,23.1,29.7
26.3,26.5,31.1
24.4,24.8,29.8
21.2,20.8,25.8
22.1,21.1,26.5
25.5,23.3,32.2
27.9,25.9,32.8
25.8,24.9,32.8
25.8,24.9,31.6
28.1,26.6,34
25.2,24.3,31.3
25.1,24.5,32
23.6,22.3,30.4
24.8,24.5,30.5
20.5,19.6,25
22.6,21.6,29.3
21.1,19.9,25.3
26,24.2,31.4
23.8,23.3,30.4
23.6,21.9,29.2
25.1,24.4,29.1
28.3,26.6,33.3
28.2,27.1,35.5
24.9,24,28.9
24.3,22.7,30.2
20.5,20,23.8
22.2,22,25.6
21.8,21.2,25.4
22.1,21.2,29.4
21.8,21.1,27.2
21.7,20.3,25.9
21.3,19.4,26
22.5,20,26.8
26.5,25,32.2
24.8,23.3,31.1
24.2,23.9,28.8
25.6,24.2,30.1
25.5,26,31.7
25.1,24.3,29.7
21,21.3,25.4
25.1,25.2,31.3
26.3,25.4,30.9
22.4,22.3,26.9
26.2,25.8,30.3
23.8,22.1,29.2
22.7,22.1,27.6
21.7,21.7,26.4
22.3,21.2,27.1
20.1,18.4,24.9
20.7,19.2,27.4
21.7,21.2,25.6
25.6,24.5,30.6
22.5,20.6,27.5
24.7,23.9,29.9
27.6,26.5,32.5
24,22.2,32
26.2,25.1,31.4
22.2,21.1,27.2
24.3,22.6,31.4
22.4,21.3,29.5
23.9,22.4,30.1
26.2,23.6,34.8
18.6,17.5,22.2
25.1,24.9,29.3
22.4,21.9,26
22.5,23.1,28.5
27,27.4,35.7
25.1,25.8,33.1
26.3,26.5,34.7
22.9,22.5,26.4
20.8,21.4,24.9
21.3,21.4,25.3
23,22.8,26.7
25.9,25.4,29.8
23.7,24.1,27.4
22.5,22.6,26.4
25.7,25,30.1
23.6,22.7,27.9
27,25.9,33.7
23.8,23.6,29.1
23,21.7,28.2
25.2,25.1,32.5
27.3,28,36.4
23.9,24.2,29.9
25.7,26.9,34.7
25.1,25,30.9
